metric,value,step
em_Amazon-Google_lm_roberta_da_dacon_baseline_alpha_0.8_id_2_size_300,0.0,1.0
em_Amazon-Google_lm_roberta_da_dacon_baseline_alpha_0.8_id_2_size_300,0.0,2.0
em_Amazon-Google_lm_roberta_da_dacon_baseline_alpha_0.8_id_2_size_300,0.0,3.0
em_Amazon-Google_lm_roberta_da_dacon_baseline_alpha_0.8_id_2_size_300,0.0,4.0
em_Amazon-Google_lm_roberta_da_dacon_baseline_alpha_0.8_id_2_size_300,0.0,5.0
em_Amazon-Google_lm_roberta_da_dacon_baseline_alpha_0.8_id_2_size_300,0.0,6.0
em_Amazon-Google_lm_roberta_da_dacon_baseline_alpha_0.8_id_2_size_300,0.0,7.0
em_Amazon-Google_lm_roberta_da_dacon_baseline_alpha_0.8_id_2_size_300,0.0,8.0
em_Amazon-Google_lm_roberta_da_dacon_baseline_alpha_0.8_id_2_size_300,0.0,9.0
em_Amazon-Google_lm_roberta_da_dacon_baseline_alpha_0.8_id_2_size_300,0.0,10.0
em_Amazon-Google_lm_roberta_da_dacon_baseline_alpha_0.8_id_2_size_300,0.0,11.0
em_Amazon-Google_lm_roberta_da_dacon_baseline_alpha_0.8_id_2_size_300,0.0,12.0
em_Amazon-Google_lm_roberta_da_dacon_baseline_alpha_0.8_id_2_size_300,0.12403100728988647,13.0
em_Amazon-Google_lm_roberta_da_dacon_baseline_alpha_0.8_id_2_size_300,0.1515151560306549,14.0
em_Amazon-Google_lm_roberta_da_dacon_baseline_alpha_0.8_id_2_size_300,0.3510971665382385,15.0
em_Amazon-Google_lm_roberta_da_dacon_baseline_alpha_0.8_id_2_size_300,0.4137931168079376,16.0
em_Amazon-Google_lm_roberta_da_dacon_baseline_alpha_0.8_id_2_size_300,0.4046920835971832,17.0
em_Amazon-Google_lm_roberta_da_dacon_baseline_alpha_0.8_id_2_size_300,0.42816901206970215,18.0
em_Amazon-Google_lm_roberta_da_dacon_baseline_alpha_0.8_id_2_size_300,0.42816901206970215,19.0
em_Amazon-Google_lm_roberta_da_dacon_baseline_alpha_0.8_id_2_size_300,0.42816901206970215,20.0
em_Walmart-Amazon_da_dm_id_1_size_450,0.0,1.0
em_Walmart-Amazon_da_dm_id_1_size_450,0.0,2.0
em_Walmart-Amazon_da_dm_id_1_size_450,0.0,3.0
em_Walmart-Amazon_da_dm_id_1_size_450,0.0,4.0
em_Walmart-Amazon_da_dm_id_1_size_450,0.0,5.0
em_Walmart-Amazon_da_dm_id_1_size_450,0.0,6.0
em_Walmart-Amazon_da_dm_id_1_size_450,0.0,7.0
